"task","repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
"NUC_vs_CONTROL",1,1,1,13,400,"floor_sqrt_p",5,12,3,0.855311355311355
"NUC_vs_CONTROL",1,1,1,13,400,"floor_sqrt_p",7,12,3,0.846153846153846
"NUC_vs_CONTROL",1,1,2,13,400,"floor_sqrt_p",2,12,3,0.866300366300366
"NUC_vs_CONTROL",1,1,2,13,400,"floor_sqrt_p",5,12,3,0.858974358974359
"NUC_vs_CONTROL",1,1,2,13,400,"floor_sqrt_p",7,12,3,0.858974358974359
"NUC_vs_CONTROL",1,1,3,13,400,"floor_sqrt_p",2,12,3,0.864220183486239
"NUC_vs_CONTROL",1,1,3,13,400,"floor_sqrt_p",5,12,3,0.867889908256881
"NUC_vs_CONTROL",1,1,3,13,400,"floor_sqrt_p",7,12,3,0.862385321100917
"NUC_vs_CONTROL",1,1,4,13,400,"floor_sqrt_p",2,12,3,0.845871559633028
"NUC_vs_CONTROL",1,1,4,13,400,"floor_sqrt_p",5,12,3,0.847706422018349
"NUC_vs_CONTROL",1,1,4,13,400,"floor_sqrt_p",7,12,3,0.844036697247706
"NUC_vs_CONTROL",1,1,5,13,400,"floor_sqrt_p",2,12,3,0.860550458715596
"NUC_vs_CONTROL",1,1,5,13,400,"floor_sqrt_p",5,12,3,0.860550458715596
"NUC_vs_CONTROL",1,1,5,13,400,"floor_sqrt_p",7,12,3,0.860550458715596
"NUC_vs_CONTROL",1,1,1,14,400,"floor_sqrt_p",2,12,3,0.853479853479853
"NUC_vs_CONTROL",1,1,1,14,400,"floor_sqrt_p",5,12,3,0.851648351648352
"NUC_vs_CONTROL",1,1,1,14,400,"floor_sqrt_p",7,12,3,0.853479853479853
"NUC_vs_CONTROL",1,1,2,14,400,"floor_sqrt_p",2,13,3,0.862637362637363
"NUC_vs_CONTROL",1,1,2,14,400,"floor_sqrt_p",5,13,3,0.868131868131868
"NUC_vs_CONTROL",1,1,2,14,400,"floor_sqrt_p",7,13,3,0.858974358974359
"NUC_vs_CONTROL",1,1,3,14,400,"floor_sqrt_p",2,12,3,0.862385321100917
"NUC_vs_CONTROL",1,1,3,14,400,"floor_sqrt_p",5,12,3,0.858715596330275
"NUC_vs_CONTROL",1,1,3,14,400,"floor_sqrt_p",7,12,3,0.855045871559633
"NUC_vs_CONTROL",1,1,4,14,400,"floor_sqrt_p",2,12,3,0.845871559633028
"NUC_vs_CONTROL",1,1,4,14,400,"floor_sqrt_p",5,12,3,0.853211009174312
"NUC_vs_CONTROL",1,1,4,14,400,"floor_sqrt_p",7,12,3,0.845871559633028
"NUC_vs_CONTROL",1,1,5,14,400,"floor_sqrt_p",2,13,3,0.860550458715596
"NUC_vs_CONTROL",1,1,5,14,400,"floor_sqrt_p",5,13,3,0.855045871559633
"NUC_vs_CONTROL",1,1,5,14,400,"floor_sqrt_p",7,13,3,0.860550458715596
"NUC_vs_CONTROL",1,1,1,15,400,"floor_sqrt_p",2,13,3,0.836996336996337
"NUC_vs_CONTROL",1,1,1,15,400,"floor_sqrt_p",5,13,3,0.842490842490842
"NUC_vs_CONTROL",1,1,1,15,400,"floor_sqrt_p",7,13,3,0.840659340659341
"NUC_vs_CONTROL",1,1,2,15,400,"floor_sqrt_p",2,14,3,0.866300366300366
"NUC_vs_CONTROL",1,1,2,15,400,"floor_sqrt_p",5,14,3,0.866300366300366
"NUC_vs_CONTROL",1,1,2,15,400,"floor_sqrt_p",7,14,3,0.862637362637363
"NUC_vs_CONTROL",1,1,3,15,400,"floor_sqrt_p",2,13,3,0.856880733944954
"NUC_vs_CONTROL",1,1,3,15,400,"floor_sqrt_p",5,13,3,0.855045871559633
"NUC_vs_CONTROL",1,1,3,15,400,"floor_sqrt_p",7,13,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,15,400,"floor_sqrt_p",2,13,3,0.84954128440367
"NUC_vs_CONTROL",1,1,4,15,400,"floor_sqrt_p",5,13,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,15,400,"floor_sqrt_p",7,13,3,0.842201834862385
"NUC_vs_CONTROL",1,1,5,15,400,"floor_sqrt_p",2,13,3,0.860550458715596
"NUC_vs_CONTROL",1,1,5,15,400,"floor_sqrt_p",5,13,3,0.856880733944954
"NUC_vs_CONTROL",1,1,5,15,400,"floor_sqrt_p",7,13,3,0.855045871559633
"NUC_vs_CONTROL",1,1,1,16,400,"floor_sqrt_p",2,14,3,0.847985347985348
"NUC_vs_CONTROL",1,1,1,16,400,"floor_sqrt_p",5,14,3,0.853479853479853
"NUC_vs_CONTROL",1,1,1,16,400,"floor_sqrt_p",7,14,3,0.846153846153846
"NUC_vs_CONTROL",1,1,2,16,400,"floor_sqrt_p",2,14,3,0.860805860805861
"NUC_vs_CONTROL",1,1,2,16,400,"floor_sqrt_p",5,14,3,0.853479853479853
"NUC_vs_CONTROL",1,1,2,16,400,"floor_sqrt_p",7,14,3,0.862637362637363
"NUC_vs_CONTROL",1,1,3,16,400,"floor_sqrt_p",2,14,3,0.855045871559633
"NUC_vs_CONTROL",1,1,3,16,400,"floor_sqrt_p",5,14,3,0.851376146788991
"NUC_vs_CONTROL",1,1,3,16,400,"floor_sqrt_p",7,14,3,0.858715596330275
"NUC_vs_CONTROL",1,1,4,16,400,"floor_sqrt_p",2,13,3,0.855045871559633
"NUC_vs_CONTROL",1,1,4,16,400,"floor_sqrt_p",5,13,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,16,400,"floor_sqrt_p",7,13,3,0.84954128440367
"NUC_vs_CONTROL",1,1,5,16,400,"floor_sqrt_p",2,14,3,0.860550458715596
"NUC_vs_CONTROL",1,1,5,16,400,"floor_sqrt_p",5,14,3,0.856880733944954
"NUC_vs_CONTROL",1,1,5,16,400,"floor_sqrt_p",7,14,3,0.851376146788991
"NUC_vs_CONTROL",1,1,1,17,400,"floor_sqrt_p",2,14,3,0.846153846153846
"NUC_vs_CONTROL",1,1,1,17,400,"floor_sqrt_p",5,14,3,0.833333333333333
"NUC_vs_CONTROL",1,1,1,17,400,"floor_sqrt_p",7,14,3,0.840659340659341
"NUC_vs_CONTROL",1,1,2,17,400,"floor_sqrt_p",2,15,3,0.855311355311355
"NUC_vs_CONTROL",1,1,2,17,400,"floor_sqrt_p",5,15,3,0.853479853479853
"NUC_vs_CONTROL",1,1,2,17,400,"floor_sqrt_p",7,15,3,0.860805860805861
"NUC_vs_CONTROL",1,1,3,17,400,"floor_sqrt_p",2,14,3,0.88256880733945
"NUC_vs_CONTROL",1,1,3,17,400,"floor_sqrt_p",5,14,3,0.884403669724771
"NUC_vs_CONTROL",1,1,3,17,400,"floor_sqrt_p",7,14,3,0.877064220183486
"NUC_vs_CONTROL",1,1,4,17,400,"floor_sqrt_p",2,14,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,17,400,"floor_sqrt_p",5,14,3,0.851376146788991
"NUC_vs_CONTROL",1,1,4,17,400,"floor_sqrt_p",7,14,3,0.844036697247706
"NUC_vs_CONTROL",1,1,5,17,400,"floor_sqrt_p",2,15,3,0.864220183486239
"NUC_vs_CONTROL",1,1,5,17,400,"floor_sqrt_p",5,15,3,0.856880733944954
"NUC_vs_CONTROL",1,1,5,17,400,"floor_sqrt_p",7,15,3,0.862385321100917
"NUC_vs_CONTROL",1,1,1,18,400,"floor_sqrt_p",2,15,3,0.836996336996337
"NUC_vs_CONTROL",1,1,1,18,400,"floor_sqrt_p",5,15,3,0.831501831501832
"NUC_vs_CONTROL",1,1,1,18,400,"floor_sqrt_p",7,15,3,0.836996336996337
"NUC_vs_CONTROL",1,1,2,18,400,"floor_sqrt_p",2,15,3,0.862637362637363
"NUC_vs_CONTROL",1,1,2,18,400,"floor_sqrt_p",5,15,3,0.862637362637363
"NUC_vs_CONTROL",1,1,2,18,400,"floor_sqrt_p",7,15,3,0.860805860805861
"NUC_vs_CONTROL",1,1,3,18,400,"floor_sqrt_p",2,15,3,0.880733944954128
