"task","repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
"HEME_vs_CONTROL",1,1,3,19,400,"floor_sqrt_p",2,13,3,0.926208651399491
"HEME_vs_CONTROL",1,1,3,19,400,"floor_sqrt_p",5,13,3,0.926208651399491
"HEME_vs_CONTROL",1,1,3,19,400,"floor_sqrt_p",7,13,3,0.921119592875318
"HEME_vs_CONTROL",1,1,4,19,400,"floor_sqrt_p",2,12,3,0.936224489795918
"HEME_vs_CONTROL",1,1,4,19,400,"floor_sqrt_p",5,12,3,0.938775510204082
"HEME_vs_CONTROL",1,1,4,19,400,"floor_sqrt_p",7,12,3,0.938775510204082
"HEME_vs_CONTROL",1,1,5,19,400,"floor_sqrt_p",2,13,3,0.948979591836735
"HEME_vs_CONTROL",1,1,5,19,400,"floor_sqrt_p",5,13,3,0.946428571428571
"HEME_vs_CONTROL",1,1,5,19,400,"floor_sqrt_p",7,13,3,0.946428571428571
"HEME_vs_CONTROL",1,1,1,20,400,"floor_sqrt_p",2,13,3,0.94147582697201
"HEME_vs_CONTROL",1,1,1,20,400,"floor_sqrt_p",5,13,3,0.938931297709924
"HEME_vs_CONTROL",1,1,1,20,400,"floor_sqrt_p",7,13,3,0.938931297709924
"HEME_vs_CONTROL",1,1,2,20,400,"floor_sqrt_p",2,13,3,0.918575063613232
"HEME_vs_CONTROL",1,1,2,20,400,"floor_sqrt_p",5,13,3,0.918575063613232
"HEME_vs_CONTROL",1,1,2,20,400,"floor_sqrt_p",7,13,3,0.918575063613232
"HEME_vs_CONTROL",1,1,3,20,400,"floor_sqrt_p",2,13,3,0.918575063613232
"HEME_vs_CONTROL",1,1,3,20,400,"floor_sqrt_p",5,13,3,0.926208651399491
"HEME_vs_CONTROL",1,1,3,20,400,"floor_sqrt_p",7,13,3,0.921119592875318
"HEME_vs_CONTROL",1,1,4,20,400,"floor_sqrt_p",2,13,3,0.936224489795918
"HEME_vs_CONTROL",1,1,4,20,400,"floor_sqrt_p",5,13,3,0.936224489795918
"HEME_vs_CONTROL",1,1,4,20,400,"floor_sqrt_p",7,13,3,0.938775510204082
"HEME_vs_CONTROL",1,1,5,20,400,"floor_sqrt_p",2,13,3,0.946428571428571
"HEME_vs_CONTROL",1,1,5,20,400,"floor_sqrt_p",5,13,3,0.943877551020408
"HEME_vs_CONTROL",1,1,5,20,400,"floor_sqrt_p",7,13,3,0.941326530612245
