"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,2,2,13,1e-06,-6,10,0.877862595419847
"HEME_vs_CONTROL",1,2,3,13,1e-06,-6,10,0.877862595419847
"HEME_vs_CONTROL",1,2,4,13,1e-06,-6,10,0.913265306122449
"HEME_vs_CONTROL",1,2,5,13,1e-06,-6,10,0.910714285714286
"HEME_vs_CONTROL",1,2,1,14,1e-06,-6,11,0.900763358778626
"HEME_vs_CONTROL",1,2,2,14,1e-06,-6,11,0.872773536895674
"HEME_vs_CONTROL",1,2,3,14,1e-06,-6,10,0.872773536895674
"HEME_vs_CONTROL",1,2,4,14,1e-06,-6,11,0.908163265306122
"HEME_vs_CONTROL",1,2,5,14,1e-06,-6,10,0.905612244897959
"HEME_vs_CONTROL",1,2,1,15,1e-06,-6,11,0.89058524173028
"HEME_vs_CONTROL",1,2,2,15,1e-06,-6,11,0.877862595419847
"HEME_vs_CONTROL",1,2,3,15,1e-06,-6,11,0.867684478371501
"HEME_vs_CONTROL",1,2,4,15,1e-06,-6,11,0.892857142857143
"HEME_vs_CONTROL",1,2,5,15,1e-06,-6,11,0.903061224489796
"HEME_vs_CONTROL",1,2,1,16,1e-06,-6,11,0.88295165394402
"HEME_vs_CONTROL",1,2,2,16,1e-06,-6,11,0.867684478371501
"HEME_vs_CONTROL",1,2,3,16,1e-06,-6,11,0.857506361323155
"HEME_vs_CONTROL",1,2,4,16,1e-06,-6,12,0.900510204081633
"HEME_vs_CONTROL",1,2,5,16,1e-06,-6,11,0.897959183673469
"HEME_vs_CONTROL",1,2,1,17,1e-06,-6,12,0.88295165394402
"HEME_vs_CONTROL",1,2,2,17,1e-06,-6,12,0.867684478371501
"HEME_vs_CONTROL",1,2,3,17,1e-06,-6,12,0.872773536895674
"HEME_vs_CONTROL",1,2,4,17,1e-06,-6,12,0.892857142857143
"HEME_vs_CONTROL",1,2,5,17,1e-06,-6,12,0.895408163265306
"HEME_vs_CONTROL",1,2,1,18,1e-06,-6,12,0.872773536895674
"HEME_vs_CONTROL",1,2,2,18,1e-06,-6,12,0.847328244274809
"HEME_vs_CONTROL",1,2,3,18,1e-06,-6,12,0.865139949109415
"HEME_vs_CONTROL",1,2,4,18,1e-06,-6,12,0.880102040816326
"HEME_vs_CONTROL",1,2,5,18,1e-06,-6,12,0.89030612244898
"HEME_vs_CONTROL",1,2,1,19,1e-06,-6,12,0.877862595419847
"HEME_vs_CONTROL",1,2,2,19,1e-06,-6,12,0.844783715012723
