"task","repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
"NUC_vs_CONTROL",5,5,"BinomialLasso",10,0.700440528634361,0.696035242290749,-0.00440528634361237,10
"NUC_vs_CONTROL",5,5,"Mahalanobis",10,0.696035242290749,0.697503671071953,0.00146842878120412,10
"NUC_vs_CONTROL",6,1,"RF",10,0.841874084919473,0.841874084919473,0,10
"NUC_vs_CONTROL",6,1,"BinomialLasso",10,0.691068814055637,0.691068814055637,0,10
"NUC_vs_CONTROL",6,1,"Mahalanobis",10,0.676427525622255,0.682284040995608,0.00585651537335286,10
"NUC_vs_CONTROL",6,2,"RF",10,0.857979502196193,0.847730600292826,-0.0102489019033675,10
"NUC_vs_CONTROL",6,2,"BinomialLasso",10,0.711566617862372,0.702781844802343,-0.00878477306002923,10
"NUC_vs_CONTROL",6,2,"Mahalanobis",10,0.693997071742313,0.692532942898975,-0.00146412884333813,10
"NUC_vs_CONTROL",6,3,"RF",10,0.850439882697947,0.846041055718475,-0.00439882697947214,10
"NUC_vs_CONTROL",6,3,"BinomialLasso",10,0.702346041055719,0.702346041055719,0,10
"NUC_vs_CONTROL",6,3,"Mahalanobis",10,0.696480938416422,0.696480938416422,0,10
"NUC_vs_CONTROL",6,4,"RF",10,0.859030837004405,0.859030837004405,0,10
"NUC_vs_CONTROL",6,4,"BinomialLasso",10,0.698972099853157,0.698972099853157,0,10
"NUC_vs_CONTROL",6,4,"Mahalanobis",10,0.709251101321586,0.706314243759178,-0.00293685756240814,10
"NUC_vs_CONTROL",6,5,"RF",10,0.832599118942731,0.832599118942731,0,10
"NUC_vs_CONTROL",6,5,"BinomialLasso",10,0.684287812041116,0.684287812041116,0,10
"NUC_vs_CONTROL",6,5,"Mahalanobis",10,0.687224669603524,0.684287812041116,-0.00293685756240825,10
"NUC_vs_CONTROL",7,1,"RF",10,0.846266471449488,0.844802342606149,-0.00146412884333813,10
"NUC_vs_CONTROL",7,1,"BinomialLasso",10,0.715959004392387,0.711566617862372,-0.00439238653001472,10
"NUC_vs_CONTROL",7,1,"Mahalanobis",10,0.710102489019034,0.714494875549048,0.00439238653001461,10
"NUC_vs_CONTROL",7,2,"RF",10,0.847730600292826,0.846266471449488,-0.00146412884333824,10
"NUC_vs_CONTROL",7,2,"BinomialLasso",10,0.683748169838946,0.686676427525622,0.00292825768667648,10
"NUC_vs_CONTROL",7,2,"Mahalanobis",10,0.677891654465593,0.676427525622255,-0.00146412884333824,10
"NUC_vs_CONTROL",7,3,"RF",10,0.850439882697947,0.846041055718475,-0.00439882697947214,10
"NUC_vs_CONTROL",7,3,"BinomialLasso",10,0.706744868035191,0.706744868035191,0,10
"NUC_vs_CONTROL",7,3,"Mahalanobis",10,0.687683284457478,0.687683284457478,0,10
"NUC_vs_CONTROL",7,4,"RF",10,0.856093979441997,0.853157121879589,-0.00293685756240825,10
"NUC_vs_CONTROL",7,4,"BinomialLasso",10,0.70337738619677,0.706314243759178,0.00293685756240825,10
"NUC_vs_CONTROL",7,4,"Mahalanobis",10,0.71071953010279,0.709251101321586,-0.00146842878120412,10
"NUC_vs_CONTROL",7,5,"RF",10,0.844346549192364,0.837004405286344,-0.00734214390602062,10
"NUC_vs_CONTROL",7,5,"BinomialLasso",10,0.68575624082232,0.679882525697504,-0.00587371512481649,10
"NUC_vs_CONTROL",7,5,"Mahalanobis",10,0.681350954478708,0.675477239353891,-0.00587371512481638,10
"NUC_vs_CONTROL",8,1,"RF",10,0.849194729136164,0.847730600292826,-0.00146412884333824,10
"NUC_vs_CONTROL",8,1,"BinomialLasso",10,0.718887262079063,0.720351390922401,0.00146412884333824,10
"NUC_vs_CONTROL",8,1,"Mahalanobis",10,0.726207906295754,0.727672035139092,0.00146412884333824,10
"NUC_vs_CONTROL",8,2,"RF",10,0.853587115666179,0.850658857979502,-0.00292825768667637,10
"NUC_vs_CONTROL",8,2,"BinomialLasso",10,0.676427525622255,0.676427525622255,0,10
"NUC_vs_CONTROL",8,2,"Mahalanobis",10,0.654465592972182,0.65592972181552,0.00146412884333824,10
"NUC_vs_CONTROL",8,3,"RF",10,0.856304985337243,0.860703812316716,0.00439882697947214,10
"NUC_vs_CONTROL",8,3,"BinomialLasso",10,0.683284457478006,0.681818181818182,-0.00146627565982405,10
"NUC_vs_CONTROL",8,3,"Mahalanobis",10,0.674486803519062,0.678885630498534,0.00439882697947214,10
"NUC_vs_CONTROL",8,4,"RF",10,0.864904552129222,0.866372980910426,0.00146842878120412,10
"NUC_vs_CONTROL",8,4,"BinomialLasso",10,0.712187958883994,0.707782672540382,-0.00440528634361237,10
