"task","repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
"NUC_vs_CONTROL",3,1,4,6,0.00359381366380463,-2.44444444444444,6,0.629357798165138
"NUC_vs_CONTROL",3,1,4,6,0.00215443469003188,-2.66666666666667,6,0.629357798165138
"NUC_vs_CONTROL",3,1,4,6,0.00129154966501488,-2.88888888888889,6,0.629357798165138
"NUC_vs_CONTROL",3,1,4,6,0.000774263682681127,-3.11111111111111,6,0.629357798165138
"NUC_vs_CONTROL",3,1,4,6,0.000464158883361278,-3.33333333333333,6,0.629357798165138
"NUC_vs_CONTROL",3,1,4,6,0.000278255940220713,-3.55555555555556,6,0.629357798165138
"NUC_vs_CONTROL",3,1,4,6,0.000166810053720006,-3.77777777777778,6,0.631192660550459
"NUC_vs_CONTROL",3,1,4,6,1e-04,-4,6,0.631192660550459
"NUC_vs_CONTROL",3,1,5,6,0.01,-2,6,0.653211009174312
"NUC_vs_CONTROL",3,1,5,6,0.00599484250318941,-2.22222222222222,6,0.658715596330275
"NUC_vs_CONTROL",3,1,5,6,0.00359381366380463,-2.44444444444444,6,0.655045871559633
"NUC_vs_CONTROL",3,1,5,6,0.00215443469003188,-2.66666666666667,6,0.658715596330275
"NUC_vs_CONTROL",3,1,5,6,0.00129154966501488,-2.88888888888889,6,0.660550458715596
"NUC_vs_CONTROL",3,1,5,6,0.000774263682681127,-3.11111111111111,6,0.660550458715596
"NUC_vs_CONTROL",3,1,5,6,0.000464158883361278,-3.33333333333333,6,0.660550458715596
"NUC_vs_CONTROL",3,1,5,6,0.000278255940220713,-3.55555555555556,6,0.660550458715596
"NUC_vs_CONTROL",3,1,5,6,0.000166810053720006,-3.77777777777778,6,0.660550458715596
"NUC_vs_CONTROL",3,1,5,6,1e-04,-4,6,0.660550458715596
"NUC_vs_CONTROL",3,1,1,7,0.01,-2,7,0.668498168498168
"NUC_vs_CONTROL",3,1,1,7,0.00599484250318941,-2.22222222222222,7,0.67032967032967
"NUC_vs_CONTROL",3,1,1,7,0.00359381366380463,-2.44444444444444,7,0.666666666666667
"NUC_vs_CONTROL",3,1,1,7,0.00215443469003188,-2.66666666666667,7,0.668498168498168
"NUC_vs_CONTROL",3,1,1,7,0.00129154966501488,-2.88888888888889,7,0.668498168498168
"NUC_vs_CONTROL",3,1,1,7,0.000774263682681127,-3.11111111111111,7,0.672161172161172
"NUC_vs_CONTROL",3,1,1,7,0.000464158883361278,-3.33333333333333,7,0.672161172161172
"NUC_vs_CONTROL",3,1,1,7,0.000278255940220713,-3.55555555555556,7,0.672161172161172
"NUC_vs_CONTROL",3,1,1,7,0.000166810053720006,-3.77777777777778,7,0.672161172161172
"NUC_vs_CONTROL",3,1,1,7,1e-04,-4,7,0.672161172161172
"NUC_vs_CONTROL",3,1,2,7,0.01,-2,7,0.646520146520147
"NUC_vs_CONTROL",3,1,2,7,0.00599484250318941,-2.22222222222222,7,0.641025641025641
"NUC_vs_CONTROL",3,1,2,7,0.00359381366380463,-2.44444444444444,7,0.642857142857143
"NUC_vs_CONTROL",3,1,2,7,0.00215443469003188,-2.66666666666667,7,0.642857142857143
"NUC_vs_CONTROL",3,1,2,7,0.00129154966501488,-2.88888888888889,7,0.642857142857143
"NUC_vs_CONTROL",3,1,2,7,0.000774263682681127,-3.11111111111111,7,0.642857142857143
"NUC_vs_CONTROL",3,1,2,7,0.000464158883361278,-3.33333333333333,7,0.641025641025641
"NUC_vs_CONTROL",3,1,2,7,0.000278255940220713,-3.55555555555556,7,0.641025641025641
"NUC_vs_CONTROL",3,1,2,7,0.000166810053720006,-3.77777777777778,7,0.641025641025641
"NUC_vs_CONTROL",3,1,2,7,1e-04,-4,7,0.641025641025641
"NUC_vs_CONTROL",3,1,3,7,0.01,-2,8,0.677064220183486
"NUC_vs_CONTROL",3,1,3,7,0.00599484250318941,-2.22222222222222,8,0.675229357798165
"NUC_vs_CONTROL",3,1,3,7,0.00359381366380463,-2.44444444444444,8,0.675229357798165
"NUC_vs_CONTROL",3,1,3,7,0.00215443469003188,-2.66666666666667,8,0.673394495412844
"NUC_vs_CONTROL",3,1,3,7,0.00129154966501488,-2.88888888888889,8,0.673394495412844
"NUC_vs_CONTROL",3,1,3,7,0.000774263682681127,-3.11111111111111,8,0.673394495412844
"NUC_vs_CONTROL",3,1,3,7,0.000464158883361278,-3.33333333333333,8,0.673394495412844
"NUC_vs_CONTROL",3,1,3,7,0.000278255940220713,-3.55555555555556,8,0.671559633027523
"NUC_vs_CONTROL",3,1,3,7,0.000166810053720006,-3.77777777777778,8,0.671559633027523
"NUC_vs_CONTROL",3,1,3,7,1e-04,-4,8,0.671559633027523
"NUC_vs_CONTROL",3,1,4,7,0.01,-2,8,0.686238532110092
"NUC_vs_CONTROL",3,1,4,7,0.00599484250318941,-2.22222222222222,8,0.686238532110092
"NUC_vs_CONTROL",3,1,4,7,0.00359381366380463,-2.44444444444444,8,0.688073394495413
"NUC_vs_CONTROL",3,1,4,7,0.00215443469003188,-2.66666666666667,8,0.688073394495413
"NUC_vs_CONTROL",3,1,4,7,0.00129154966501488,-2.88888888888889,8,0.686238532110092
"NUC_vs_CONTROL",3,1,4,7,0.000774263682681127,-3.11111111111111,8,0.686238532110092
"NUC_vs_CONTROL",3,1,4,7,0.000464158883361278,-3.33333333333333,8,0.684403669724771
"NUC_vs_CONTROL",3,1,4,7,0.000278255940220713,-3.55555555555556,8,0.684403669724771
"NUC_vs_CONTROL",3,1,4,7,0.000166810053720006,-3.77777777777778,8,0.684403669724771
"NUC_vs_CONTROL",3,1,4,7,1e-04,-4,8,0.684403669724771
"NUC_vs_CONTROL",3,1,5,7,0.01,-2,7,0.677064220183486
"NUC_vs_CONTROL",3,1,5,7,0.00599484250318941,-2.22222222222222,7,0.675229357798165
"NUC_vs_CONTROL",3,1,5,7,0.00359381366380463,-2.44444444444444,7,0.675229357798165
"NUC_vs_CONTROL",3,1,5,7,0.00215443469003188,-2.66666666666667,7,0.673394495412844
"NUC_vs_CONTROL",3,1,5,7,0.00129154966501488,-2.88888888888889,7,0.673394495412844
"NUC_vs_CONTROL",3,1,5,7,0.000774263682681127,-3.11111111111111,7,0.673394495412844
"NUC_vs_CONTROL",3,1,5,7,0.000464158883361278,-3.33333333333333,7,0.673394495412844
"NUC_vs_CONTROL",3,1,5,7,0.000278255940220713,-3.55555555555556,7,0.673394495412844
"NUC_vs_CONTROL",3,1,5,7,0.000166810053720006,-3.77777777777778,7,0.673394495412844
