"threshold","ILR1_raw","ILR1_spline","v1_raw","v1_spline"
12.2,0.884062768279479,0.862572633449794,7.94133652906514,7.85339201260398
12.3,0.885837190242464,0.867571721515263,8.0062794099568,7.98202518026413
12.4,0.86738258503873,0.872634801884918,8.13056295208444,8.08185436414509
12.5,0.870773990969985,0.877379368088292,8.22827432207705,8.14798684580594
12.6,0.869353768297811,0.881477830763293,8.16722420651137,8.18853650972332
12.7,0.87268133576189,0.884616329824921,8.16715612582788,8.21486889110323
12.8,0.879289858453862,0.886481005188178,8.12844651701433,8.2383495251517
12.9,0.884231952819391,0.886757996768067,8.2320622563667,8.27034394707475
13,0.885837190242464,0.885161974063114,8.36470202589378,8.32164125348332
13.1,0.904528325564204,0.881886814420153,8.50208566337968,8.39334817396181
13.2,0.884327890243212,0.877524026256424,8.46155367382327,8.47853732517579
13.3,0.873852042620678,0.872677153907217,8.56156743632311,8.57003813875859
13.4,0.878479092824946,0.867949741707822,8.69568852465583,8.6606800463435
13.5,0.847452122434189,0.863945013347706,8.7478542566206,8.74329783088396
13.6,0.859044296496052,0.861103304437805,8.74859716399963,8.81344474596132
13.7,0.849423647664947,0.859437529705831,8.79132289660169,8.87380735489516
13.8,0.860828843003915,0.858891344381533,8.98619411477015,8.92822810615393
13.9,0.854160119613384,0.859408403694666,9.03724914949829,8.98054944820607
14,0.859772107651753,0.86093236287498,9.03257727599825,9.03461382952003
14.1,0.870864206175668,0.863380577588544,9.06494149207929,9.0938015463318
14.2,0.869704776883418,0.866412036587769,9.24568396284735,9.15695271134566
14.3,0.87512324616518,0.86953908225796,9.1977207073673,9.22033047641766
14.4,0.87512324616518,0.872272373812341,9.18327122590997,9.28016841566101
14.5,0.876593832721965,0.874122570464139,9.32210823310777,9.33270010318887
14.6,0.861115208009828,0.874603823475221,9.34582045636834,9.37420087505894
14.7,0.871630000736394,0.873534528845351,9.42978382301409,9.40458457674176
14.8,0.874234448547032,0.871269112040774,9.43129723619221,9.43017551218572
14.9,0.866878768286966,0.868216561787762,9.46915398465683,9.4579505157217
15,0.865846974697637,0.864785866812583,9.63539008185453,9.4948864216806
15.1,0.864838589929212,0.861386015841508,9.60490800208953,9.5479600643933
15.2,0.861367385894522,0.858375199966039,9.6205838923003,9.62332027994112
15.3,0.85796133385506,0.855798123022365,9.68472591414345,9.72200608187445
15.4,0.852159073827477,0.853580020335275,9.79228575803032,9.8431091545271
15.5,0.835903029594581,0.851645892055326,9.77931666204647,9.98571734890764
15.6,0.850533346972337,0.84992073833307,9.98311908667108,10.1489185160247
15.7,0.862498214187967,0.84833274084995,10.3516076589444,10.3317163858911
15.8,0.848222321418773,0.846915189641144,10.7464993704568,10.530335580074
15.9,0.839839409728992,0.845828046804913,10.8460998710417,10.7376514582794
16,0.841489946278556,0.845238815846064,11.0639005761518,10.9463399822984
16.1,0.848321949003466,0.845315000269405,11.2441650275573,11.1490771139218
16.2,0.85284021856952,0.846224103579743,11.2805530674934,11.3385388149405
