"repeat_id","fold_id","model","t_end","smooth_lambda_name","smooth_lambda","accuracy","k_use"
3,2,"MultinomialLasso",10,"1e-4",1e-04,0.797814207650273,6
3,2,"Mahalanobis",10,"1e-4",1e-04,0.568306010928962,6
3,2,"RF",10,"1e-3",0.001,0.80327868852459,6
3,2,"MultinomialLasso",10,"1e-3",0.001,0.797814207650273,6
3,2,"Mahalanobis",10,"1e-3",0.001,0.568306010928962,6
3,2,"RF",10,"1e-2",0.01,0.80327868852459,6
3,2,"MultinomialLasso",10,"1e-2",0.01,0.797814207650273,6
3,2,"Mahalanobis",10,"1e-2",0.01,0.568306010928962,6
3,2,"RF",10,"1e-1",0.1,0.80327868852459,6
3,2,"MultinomialLasso",10,"1e-1",0.1,0.80327868852459,6
3,2,"Mahalanobis",10,"1e-1",0.1,0.568306010928962,6
3,3,"RF",10,"1e-4",1e-04,0.805555555555556,6
3,3,"MultinomialLasso",10,"1e-4",1e-04,0.777777777777778,6
3,3,"Mahalanobis",10,"1e-4",1e-04,0.633333333333333,6
3,3,"RF",10,"1e-3",0.001,0.8,6
3,3,"MultinomialLasso",10,"1e-3",0.001,0.777777777777778,6
3,3,"Mahalanobis",10,"1e-3",0.001,0.633333333333333,6
3,3,"RF",10,"1e-2",0.01,0.8,6
3,3,"MultinomialLasso",10,"1e-2",0.01,0.777777777777778,6
3,3,"Mahalanobis",10,"1e-2",0.01,0.627777777777778,6
3,3,"RF",10,"1e-1",0.1,0.783333333333333,6
3,3,"MultinomialLasso",10,"1e-1",0.1,0.777777777777778,6
3,3,"Mahalanobis",10,"1e-1",0.1,0.616666666666667,6
3,4,"RF",10,"1e-4",1e-04,0.793296089385475,6
3,4,"MultinomialLasso",10,"1e-4",1e-04,0.787709497206704,6
3,4,"Mahalanobis",10,"1e-4",1e-04,0.575418994413408,6
3,4,"RF",10,"1e-3",0.001,0.782122905027933,6
3,4,"MultinomialLasso",10,"1e-3",0.001,0.787709497206704,6
3,4,"Mahalanobis",10,"1e-3",0.001,0.575418994413408,6
3,4,"RF",10,"1e-2",0.01,0.782122905027933,6
3,4,"MultinomialLasso",10,"1e-2",0.01,0.787709497206704,6
3,4,"Mahalanobis",10,"1e-2",0.01,0.575418994413408,6
3,4,"RF",10,"1e-1",0.1,0.787709497206704,6
3,4,"MultinomialLasso",10,"1e-1",0.1,0.787709497206704,6
3,4,"Mahalanobis",10,"1e-1",0.1,0.575418994413408,6
3,5,"RF",10,"1e-4",1e-04,0.775280898876405,6
3,5,"MultinomialLasso",10,"1e-4",1e-04,0.780898876404494,6
3,5,"Mahalanobis",10,"1e-4",1e-04,0.567415730337079,6
3,5,"RF",10,"1e-3",0.001,0.786516853932584,6
3,5,"MultinomialLasso",10,"1e-3",0.001,0.780898876404494,6
3,5,"Mahalanobis",10,"1e-3",0.001,0.567415730337079,6
3,5,"RF",10,"1e-2",0.01,0.775280898876405,6
3,5,"MultinomialLasso",10,"1e-2",0.01,0.780898876404494,6
3,5,"Mahalanobis",10,"1e-2",0.01,0.567415730337079,6
3,5,"RF",10,"1e-1",0.1,0.780898876404494,6
3,5,"MultinomialLasso",10,"1e-1",0.1,0.775280898876405,6
3,5,"Mahalanobis",10,"1e-1",0.1,0.573033707865168,6
4,1,"RF",10,"1e-4",1e-04,0.815217391304348,6
4,1,"MultinomialLasso",10,"1e-4",1e-04,0.75,6
4,1,"Mahalanobis",10,"1e-4",1e-04,0.608695652173913,6
4,1,"RF",10,"1e-3",0.001,0.815217391304348,6
4,1,"MultinomialLasso",10,"1e-3",0.001,0.75,6
4,1,"Mahalanobis",10,"1e-3",0.001,0.608695652173913,6
4,1,"RF",10,"1e-2",0.01,0.815217391304348,6
4,1,"MultinomialLasso",10,"1e-2",0.01,0.75,6
4,1,"Mahalanobis",10,"1e-2",0.01,0.608695652173913,6
4,1,"RF",10,"1e-1",0.1,0.820652173913043,6
4,1,"MultinomialLasso",10,"1e-1",0.1,0.75,6
4,1,"Mahalanobis",10,"1e-1",0.1,0.608695652173913,6
4,2,"RF",10,"1e-4",1e-04,0.786885245901639,6
4,2,"MultinomialLasso",10,"1e-4",1e-04,0.792349726775956,6
4,2,"Mahalanobis",10,"1e-4",1e-04,0.601092896174863,6
4,2,"RF",10,"1e-3",0.001,0.786885245901639,6
4,2,"MultinomialLasso",10,"1e-3",0.001,0.792349726775956,6
4,2,"Mahalanobis",10,"1e-3",0.001,0.601092896174863,6
4,2,"RF",10,"1e-2",0.01,0.792349726775956,6
4,2,"MultinomialLasso",10,"1e-2",0.01,0.792349726775956,6
4,2,"Mahalanobis",10,"1e-2",0.01,0.601092896174863,6
4,2,"RF",10,"1e-1",0.1,0.775956284153005,6
4,2,"MultinomialLasso",10,"1e-1",0.1,0.792349726775956,6
4,2,"Mahalanobis",10,"1e-1",0.1,0.601092896174863,6
4,3,"RF",10,"1e-4",1e-04,0.727777777777778,6
4,3,"MultinomialLasso",10,"1e-4",1e-04,0.755555555555556,6
4,3,"Mahalanobis",10,"1e-4",1e-04,0.516666666666667,6
4,3,"RF",10,"1e-3",0.001,0.744444444444444,6
4,3,"MultinomialLasso",10,"1e-3",0.001,0.755555555555556,6
4,3,"Mahalanobis",10,"1e-3",0.001,0.516666666666667,6
4,3,"RF",10,"1e-2",0.01,0.722222222222222,6
4,3,"MultinomialLasso",10,"1e-2",0.01,0.755555555555556,6
4,3,"Mahalanobis",10,"1e-2",0.01,0.516666666666667,6
4,3,"RF",10,"1e-1",0.1,0.733333333333333,6
4,3,"MultinomialLasso",10,"1e-1",0.1,0.755555555555556,6
4,3,"Mahalanobis",10,"1e-1",0.1,0.516666666666667,6
4,4,"RF",10,"1e-4",1e-04,0.776536312849162,7
4,4,"MultinomialLasso",10,"1e-4",1e-04,0.798882681564246,7
4,4,"Mahalanobis",10,"1e-4",1e-04,0.597765363128492,7
4,4,"RF",10,"1e-3",0.001,0.770949720670391,7
4,4,"MultinomialLasso",10,"1e-3",0.001,0.798882681564246,7
4,4,"Mahalanobis",10,"1e-3",0.001,0.597765363128492,7
4,4,"RF",10,"1e-2",0.01,0.776536312849162,6
4,4,"MultinomialLasso",10,"1e-2",0.01,0.798882681564246,6
4,4,"Mahalanobis",10,"1e-2",0.01,0.581005586592179,6
4,4,"RF",10,"1e-1",0.1,0.782122905027933,6
4,4,"MultinomialLasso",10,"1e-1",0.1,0.798882681564246,6
4,4,"Mahalanobis",10,"1e-1",0.1,0.581005586592179,6
4,5,"RF",10,"1e-4",1e-04,0.803370786516854,6
4,5,"MultinomialLasso",10,"1e-4",1e-04,0.764044943820225,6
4,5,"Mahalanobis",10,"1e-4",1e-04,0.578651685393258,6
4,5,"RF",10,"1e-3",0.001,0.808988764044944,6
4,5,"MultinomialLasso",10,"1e-3",0.001,0.764044943820225,6
4,5,"Mahalanobis",10,"1e-3",0.001,0.578651685393258,6
4,5,"RF",10,"1e-2",0.01,0.797752808988764,6
4,5,"MultinomialLasso",10,"1e-2",0.01,0.764044943820225,6
4,5,"Mahalanobis",10,"1e-2",0.01,0.578651685393258,6
4,5,"RF",10,"1e-1",0.1,0.808988764044944,6
4,5,"MultinomialLasso",10,"1e-1",0.1,0.764044943820225,6
4,5,"Mahalanobis",10,"1e-1",0.1,0.573033707865168,6
5,1,"RF",10,"1e-4",1e-04,0.777173913043478,6
5,1,"MultinomialLasso",10,"1e-4",1e-04,0.782608695652174,6
5,1,"Mahalanobis",10,"1e-4",1e-04,0.592391304347826,6
5,1,"RF",10,"1e-3",0.001,0.777173913043478,6
5,1,"MultinomialLasso",10,"1e-3",0.001,0.782608695652174,6
5,1,"Mahalanobis",10,"1e-3",0.001,0.592391304347826,6
5,1,"RF",10,"1e-2",0.01,0.782608695652174,6
5,1,"MultinomialLasso",10,"1e-2",0.01,0.782608695652174,6
5,1,"Mahalanobis",10,"1e-2",0.01,0.592391304347826,6
5,1,"RF",10,"1e-1",0.1,0.782608695652174,6
5,1,"MultinomialLasso",10,"1e-1",0.1,0.782608695652174,6
5,1,"Mahalanobis",10,"1e-1",0.1,0.592391304347826,6
5,2,"RF",10,"1e-4",1e-04,0.754098360655738,6
5,2,"MultinomialLasso",10,"1e-4",1e-04,0.759562841530055,6
5,2,"Mahalanobis",10,"1e-4",1e-04,0.519125683060109,6
5,2,"RF",10,"1e-3",0.001,0.754098360655738,6
5,2,"MultinomialLasso",10,"1e-3",0.001,0.759562841530055,6
5,2,"Mahalanobis",10,"1e-3",0.001,0.519125683060109,6
5,2,"RF",10,"1e-2",0.01,0.754098360655738,6
5,2,"MultinomialLasso",10,"1e-2",0.01,0.759562841530055,6
5,2,"Mahalanobis",10,"1e-2",0.01,0.519125683060109,6
5,2,"RF",10,"1e-1",0.1,0.743169398907104,6
5,2,"MultinomialLasso",10,"1e-1",0.1,0.759562841530055,6
5,2,"Mahalanobis",10,"1e-1",0.1,0.519125683060109,6
5,3,"RF",10,"1e-4",1e-04,0.805555555555556,6
5,3,"MultinomialLasso",10,"1e-4",1e-04,0.755555555555556,6
5,3,"Mahalanobis",10,"1e-4",1e-04,0.544444444444444,6
5,3,"RF",10,"1e-3",0.001,0.805555555555556,6
5,3,"MultinomialLasso",10,"1e-3",0.001,0.755555555555556,6
5,3,"Mahalanobis",10,"1e-3",0.001,0.544444444444444,6
5,3,"RF",10,"1e-2",0.01,0.811111111111111,6
5,3,"MultinomialLasso",10,"1e-2",0.01,0.755555555555556,6
5,3,"Mahalanobis",10,"1e-2",0.01,0.544444444444444,6
5,3,"RF",10,"1e-1",0.1,0.794444444444444,6
5,3,"MultinomialLasso",10,"1e-1",0.1,0.755555555555556,6
5,3,"Mahalanobis",10,"1e-1",0.1,0.544444444444444,6
5,4,"RF",10,"1e-4",1e-04,0.776536312849162,6
5,4,"MultinomialLasso",10,"1e-4",1e-04,0.787709497206704,6
5,4,"Mahalanobis",10,"1e-4",1e-04,0.603351955307263,6
5,4,"RF",10,"1e-3",0.001,0.776536312849162,6
5,4,"MultinomialLasso",10,"1e-3",0.001,0.787709497206704,6
5,4,"Mahalanobis",10,"1e-3",0.001,0.603351955307263,6
5,4,"RF",10,"1e-2",0.01,0.770949720670391,6
5,4,"MultinomialLasso",10,"1e-2",0.01,0.787709497206704,6
5,4,"Mahalanobis",10,"1e-2",0.01,0.603351955307263,6
5,4,"RF",10,"1e-1",0.1,0.776536312849162,6
5,4,"MultinomialLasso",10,"1e-1",0.1,0.787709497206704,6
5,4,"Mahalanobis",10,"1e-1",0.1,0.603351955307263,6
5,5,"RF",10,"1e-4",1e-04,0.752808988764045,6
5,5,"MultinomialLasso",10,"1e-4",1e-04,0.775280898876405,6
5,5,"Mahalanobis",10,"1e-4",1e-04,0.606741573033708,6
5,5,"RF",10,"1e-3",0.001,0.758426966292135,6
5,5,"MultinomialLasso",10,"1e-3",0.001,0.775280898876405,6
5,5,"Mahalanobis",10,"1e-3",0.001,0.606741573033708,6
5,5,"RF",10,"1e-2",0.01,0.764044943820225,6
