"repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
4,3,2,9,1e-04,-4,6,0.775510204081633
4,3,3,9,0.01,-2,6,0.680555555555556
4,3,3,9,0.00599484250318941,-2.22222222222222,6,0.701388888888889
4,3,3,9,0.00359381366380463,-2.44444444444444,6,0.743055555555556
4,3,3,9,0.00215443469003188,-2.66666666666667,6,0.763888888888889
4,3,3,9,0.00129154966501488,-2.88888888888889,6,0.770833333333333
4,3,3,9,0.000774263682681127,-3.11111111111111,6,0.763888888888889
4,3,3,9,0.000464158883361278,-3.33333333333333,6,0.756944444444444
4,3,3,9,0.000278255940220713,-3.55555555555556,6,0.756944444444444
4,3,3,9,0.000166810053720006,-3.77777777777778,6,0.75
4,3,3,9,1e-04,-4,6,0.75
4,3,4,9,0.01,-2,6,0.746478873239437
4,3,4,9,0.00599484250318941,-2.22222222222222,6,0.71830985915493
4,3,4,9,0.00359381366380463,-2.44444444444444,6,0.753521126760563
4,3,4,9,0.00215443469003188,-2.66666666666667,6,0.767605633802817
4,3,4,9,0.00129154966501488,-2.88888888888889,6,0.78169014084507
4,3,4,9,0.000774263682681127,-3.11111111111111,6,0.78169014084507
4,3,4,9,0.000464158883361278,-3.33333333333333,6,0.76056338028169
4,3,4,9,0.000278255940220713,-3.55555555555556,6,0.76056338028169
4,3,4,9,0.000166810053720006,-3.77777777777778,6,0.76056338028169
4,3,4,9,1e-04,-4,6,0.76056338028169
4,3,5,9,0.01,-2,6,0.704225352112676
4,3,5,9,0.00599484250318941,-2.22222222222222,6,0.73943661971831
4,3,5,9,0.00359381366380463,-2.44444444444444,6,0.78169014084507
4,3,5,9,0.00215443469003188,-2.66666666666667,6,0.795774647887324
4,3,5,9,0.00129154966501488,-2.88888888888889,6,0.802816901408451
4,3,5,9,0.000774263682681127,-3.11111111111111,6,0.809859154929577
4,3,5,9,0.000464158883361278,-3.33333333333333,6,0.809859154929577
4,3,5,9,0.000278255940220713,-3.55555555555556,6,0.809859154929577
4,3,5,9,0.000166810053720006,-3.77777777777778,6,0.809859154929577
4,3,5,9,1e-04,-4,6,0.809859154929577
4,3,1,10,0.01,-2,6,0.724832214765101
4,3,1,10,0.00599484250318941,-2.22222222222222,6,0.738255033557047
4,3,1,10,0.00359381366380463,-2.44444444444444,6,0.758389261744966
4,3,1,10,0.00215443469003188,-2.66666666666667,6,0.778523489932886
4,3,1,10,0.00129154966501488,-2.88888888888889,6,0.791946308724832
4,3,1,10,0.000774263682681127,-3.11111111111111,6,0.791946308724832
4,3,1,10,0.000464158883361278,-3.33333333333333,6,0.785234899328859
4,3,1,10,0.000278255940220713,-3.55555555555556,6,0.791946308724832
