"t_end","classifier","mean_accuracy","mean_k_use","sd_accuracy","sd_k_use"
17,"Mahalanobis",0.567393383854027,9,0.0450891219197721,0
17.2,"Mahalanobis",0.565152946695557,9,0.0468282692235698,0
17.4,"Mahalanobis",0.560725972732939,9,0.0460443248153392,0
17.6,"Mahalanobis",0.568486280028891,9,0.044011164640909,0
17.8,"Mahalanobis",0.564071720715559,9,0.0428824731747802,0
18,"Mahalanobis",0.567344260475641,9,0.0441749166019922,0
18.2,"Mahalanobis",0.57285833045044,9.2,0.0519140068487274,0.447213595499958
18.4,"Mahalanobis",0.57285833045044,9.2,0.0519140068487274,0.447213595499958
18.6,"Mahalanobis",0.570611546601164,9.4,0.0588912992619045,0.547722557505166
18.8,"Mahalanobis",0.562906291151638,9.8,0.0587512434134724,0.447213595499958
19,"Mahalanobis",0.561813394976774,10,0.0599352161611034,0
19.2,"Mahalanobis",0.558449222946524,10,0.0645510881711196,0
19.4,"Mahalanobis",0.558431008010276,10,0.063786313002024,0
19.6,"Mahalanobis",0.558406853420904,10,0.0661667941657771,0
19.8,"Mahalanobis",0.553998233760697,10,0.0619592390508141,0
20,"Mahalanobis",0.555103067801944,10,0.0592685963825009,0
6,"MultinomialLasso",0.745716550789929,4,0.0195768681681633,0
6.2,"MultinomialLasso",0.749044153581521,4,0.0222384548166941,0
6.4,"MultinomialLasso",0.75341579684111,4,0.0173127466083431,0
6.6,"MultinomialLasso",0.75121772920826,4,0.0188619190706809,0
6.8,"MultinomialLasso",0.747828041736594,4.4,0.0210129497415699,0.547722557505166
7,"MultinomialLasso",0.746608106730092,5,0.0212061163508066,0
7.2,"MultinomialLasso",0.749935977193203,5,0.0211062163274638,0
7.4,"MultinomialLasso",0.749960806616054,5,0.0136481312663608,0
7.6,"MultinomialLasso",0.759967362418244,5,0.0195108687655336,0
7.8,"MultinomialLasso",0.759973907159626,5,0.0178816613459565,0
8,"MultinomialLasso",0.761108894003505,5,0.0150253858232631,0
8.2,"MultinomialLasso",0.762189643200601,5,0.0113192325540563,0
8.4,"MultinomialLasso",0.764368890808946,5,0.0183546806504097,0
8.6,"MultinomialLasso",0.774498988388574,5.6,0.0251135709736662,0.547722557505166
8.8,"MultinomialLasso",0.776702995674549,5.8,0.0252280451034567,0.447213595499958
9,"MultinomialLasso",0.777826253763427,6,0.0296637556252493,0
9.2,"MultinomialLasso",0.780054683310292,6,0.0307941158985175,0
9.4,"MultinomialLasso",0.780018044326413,6,0.0288998887943465,0
9.6,"MultinomialLasso",0.782252750943143,6,0.0284535761858333,0
9.8,"MultinomialLasso",0.782234803678414,6,0.0292678083345471,0
10,"MultinomialLasso",0.779981882125437,6,0.0320825298379478,0
10.2,"MultinomialLasso",0.781050891382447,6.2,0.0339779237390325,0.447213595499958
10.4,"MultinomialLasso",0.782137510487447,6.2,0.0371612091367115,0.447213595499958
10.6,"MultinomialLasso",0.783333360649797,6.8,0.0332819641989992,0.447213595499958
10.8,"MultinomialLasso",0.786667170766033,7,0.035428565825697,0
11,"MultinomialLasso",0.784439008890686,7,0.0348589517515773,0
11.2,"MultinomialLasso",0.788914152665885,7,0.0317404642689874,0
11.4,"MultinomialLasso",0.787821256491022,7,0.0316866275855862,0
11.6,"MultinomialLasso",0.784518017400185,7,0.0358635628032239,0
11.8,"MultinomialLasso",0.78674678436379,7,0.0334871117955563,0
12,"MultinomialLasso",0.781190414608592,7,0.0363090700312262,0
12.2,"MultinomialLasso",0.781165922602481,7,0.0397539917924843,0
12.4,"MultinomialLasso",0.781184405210247,7,0.0403040240587267,0
12.6,"MultinomialLasso",0.783358318253726,7,0.0380660809622752,0
12.8,"MultinomialLasso",0.783340173062699,7,0.0329273321516118,0
13,"MultinomialLasso",0.778950105755479,7,0.0317643451138107,0
13.2,"MultinomialLasso",0.777832240791601,7.2,0.0317331126142756,0.447213595499958
13.4,"MultinomialLasso",0.774541614400627,7.2,0.0301871037496233,0.447213595499958
13.6,"MultinomialLasso",0.767825149646375,7.4,0.0213217111139617,0.547722557505166
13.8,"MultinomialLasso",0.770023217279225,7.8,0.0202982841180713,0.447213595499958
14,"MultinomialLasso",0.765693268711776,8,0.0304911737378753,0
14.2,"MultinomialLasso",0.76235979601228,8,0.0258499863066661,0
14.4,"MultinomialLasso",0.759038470290552,8,0.0238761810064118,0
14.6,"MultinomialLasso",0.75790293691855,8,0.0203905024339119,0
14.8,"MultinomialLasso",0.759038470290552,8,0.0238761810064118,0
15,"MultinomialLasso",0.763459574345266,8,0.0208328600352752,0
15.2,"MultinomialLasso",0.764558410173254,8,0.0202536813795559,0
15.4,"MultinomialLasso",0.764528048259239,8,0.0166140473541516,0
15.6,"MultinomialLasso",0.767935194903367,8,0.0238121987401796,0
15.8,"MultinomialLasso",0.765688341308871,8,0.0220982779066549,0
16,"MultinomialLasso",0.762354461447415,8.2,0.0250329580869803,0.447213595499958
16.2,"MultinomialLasso",0.770133123045776,8.4,0.03075958836083,0.547722557505166
16.4,"MultinomialLasso",0.77665433789398,8.8,0.0299720714364583,0.447213595499958
16.6,"MultinomialLasso",0.7668232109082,9,0.0379003770102239,0
16.8,"MultinomialLasso",0.760247351251253,9,0.0378008195690576,0
17,"MultinomialLasso",0.76351976270598,9,0.0397323076170677,0
17.2,"MultinomialLasso",0.764716357322751,9,0.0456008528686707,0
17.4,"MultinomialLasso",0.76803802046122,9,0.0437902516277536,0
17.6,"MultinomialLasso",0.76354452238361,9,0.0382114791712806,0
17.8,"MultinomialLasso",0.763550462036734,9,0.0394943690539884,0
18,"MultinomialLasso",0.762457565861871,9,0.039707334778529,0
18.2,"MultinomialLasso",0.759105540809388,9.2,0.0379046080530299,0.447213595499958
18.4,"MultinomialLasso",0.756877111262522,9.2,0.0360254674380016,0.447213595499958
18.6,"MultinomialLasso",0.761279453852866,9.4,0.0351237952732977,0.547722557505166
18.8,"MultinomialLasso",0.763452761808086,9.8,0.0350209167087421,0.447213595499958
19,"MultinomialLasso",0.768953940226417,10,0.0359697488481062,0
19.2,"MultinomialLasso",0.764515296068934,10,0.0315434762696402,0
19.4,"MultinomialLasso",0.765602252590673,10,0.0302844718502846,0
19.6,"MultinomialLasso",0.762335978715369,10,0.0364467409222263,0
19.8,"MultinomialLasso",0.763398780647736,10,0.0358857565061838,0
20,"MultinomialLasso",0.75895392916561,10,0.0288922839463821,0
6,"RF",0.730029734853278,4,0.0152223945598987,0
6.2,"RF",0.742175053748187,4,0.00888369099742106,0
6.4,"RF",0.743365521846343,4,0.0179512967099701,0
6.6,"RF",0.737913129389658,4,0.0232764009408674,0
6.8,"RF",0.745808113314876,4.4,0.0291914220216479,0.547722557505166
7,"RF",0.753482529943207,5,0.0309914371471494,0
7.2,"RF",0.762299769263621,5,0.0226204133190503,0
7.4,"RF",0.763380855877457,5,0.0167202728194058,0
7.6,"RF",0.760082811985323,5,0.026692649584329,0
7.8,"RF",0.761213219903842,5,0.0222348963173512,0
8,"RF",0.785496975535539,5,0.027513064627438,0
8.2,"RF",0.771209245942462,5,0.0262460292822406,0
8.4,"RF",0.79116938863671,5,0.0308344744495204,0
8.6,"RF",0.785539612732678,5.6,0.0241360493522561,0.547722557505166
8.8,"RF",0.785617887848562,5.8,0.0381803957864669,0.447213595499958
9,"RF",0.782229212751393,6,0.0239316590926162,0
9.2,"RF",0.783401792144955,6,0.0255552333293337,0
9.4,"RF",0.772288854708262,6,0.0285999229217333,0
9.6,"RF",0.781069664156182,6,0.0265541082256321,0
9.8,"RF",0.782320437859601,6,0.0324576089063716,0
10,"RF",0.776679189687001,6,0.0266154976987791,0
10.2,"RF",0.781135850854434,6.2,0.0297199997101374,0.447213595499958
10.4,"RF",0.784476334017408,6.2,0.0236694104115648,0.447213595499958
10.6,"RF",0.77103753447672,6.8,0.0206283979000164,0.447213595499958
10.8,"RF",0.774419037498356,7,0.021663966616519,0
11,"RF",0.778944386523102,7,0.0215238094349457,0
11.2,"RF",0.775635754307263,7,0.0297269173702289,0
11.4,"RF",0.777852513659263,7,0.0312554628607943,0
11.6,"RF",0.771196435316301,7,0.0318785219534619,0
11.8,"RF",0.770126740040727,7,0.0327838068903477,0
12,"RF",0.765700580277751,7,0.0314117577221736,0
12.2,"RF",0.769107448065275,7,0.0324130126406679,0
12.4,"RF",0.761298296247543,7,0.0283801439650376,0
12.6,"RF",0.76019277631201,7,0.0227644546033235,0
12.8,"RF",0.763441975682362,7,0.0152091512226563,0
13,"RF",0.757940866884973,7,0.026262113707421,0
13.2,"RF",0.76008893837966,7.2,0.0218372076026911,0.447213595499958
13.4,"RF",0.772288425176132,7.2,0.0289822196363052,0.447213595499958
13.6,"RF",0.764405797464343,7.4,0.0168996639716682,0.547722557505166
13.8,"RF",0.766598809388932,7.8,0.00822586225031374,0.447213595499958
14,"RF",0.760010058175518,8,0.0128557113531661,0
14.2,"RF",0.76225097211689,8,0.0147045952603849,0
14.4,"RF",0.757763402507319,8,0.0211842568580311,0
14.6,"RF",0.762317973014784,8,0.019707924108709,0
14.8,"RF",0.772222099111717,8,0.0184740378617758,0
15,"RF",0.770097309446624,8,0.0224969178213642,0
15.2,"RF",0.760022205153285,8,0.0171976080999291,0
15.4,"RF",0.763380437530411,8,0.0213348720169746,0
15.6,"RF",0.769064869428272,8,0.0283938278917137,0
15.8,"RF",0.771177244444079,8,0.0186870376065919,0
16,"RF",0.770236972163211,8.2,0.0292705257680752,0.447213595499958
16.2,"RF",0.770168819648936,8.4,0.0299223712188749,0.547722557505166
16.4,"RF",0.769113853440495,8.8,0.0278374245189218,0.447213595499958
16.6,"RF",0.77564086857566,9,0.0221464656047762,0
16.8,"RF",0.773431130747945,9,0.0252292925099185,0
17,"RF",0.765810544604437,9,0.0334529645808664,0
17.2,"RF",0.769016490504308,9,0.0318449991908296,0
17.4,"RF",0.765792050811586,9,0.0352529338550663,0
17.6,"RF",0.762532134936451,9,0.03517729597869,0
17.8,"RF",0.759088943211617,9,0.0302546562987427,0
18,"RF",0.769127012544202,9,0.0379742210198987,0
18.2,"RF",0.770177399827283,9.2,0.0311613982395099,0.447213595499958
18.4,"RF",0.762398272506826,9.2,0.0299560880549275,0.447213595499958
18.6,"RF",0.759015885540328,9.4,0.025854101845254,0.547722557505166
18.8,"RF",0.761257265203796,9.8,0.0248885397473305,0.447213595499958
19,"RF",0.75240392224254,10,0.0321529481967044,0
19.2,"RF",0.752422148363873,10,0.0276099797815322,0
19.4,"RF",0.755681866312709,10,0.0190836595208023,0
19.6,"RF",0.757977494683766,10,0.03248934312506,0
19.8,"RF",0.758960822508818,10,0.02062601084312,0
20,"RF",0.761109697018062,10,0.0225758772466621,0
