"t_end","fold","classifier","accuracy","k_use"
9.6,3,"RF",0.766666666666667,6
9.6,3,"MultinomialLasso",0.777777777777778,6
9.6,3,"Mahalanobis",0.55,6
9.6,4,"RF",0.770949720670391,6
9.6,4,"MultinomialLasso",0.815642458100559,6
9.6,4,"Mahalanobis",0.502793296089385,6
9.6,5,"RF",0.808988764044944,6
9.6,5,"MultinomialLasso",0.780898876404494,6
9.6,5,"Mahalanobis",0.617977528089888,6
9.8,1,"RF",0.728260869565217,6
9.8,1,"MultinomialLasso",0.744565217391304,6
9.8,1,"Mahalanobis",0.641304347826087,6
9.8,2,"RF",0.80327868852459,6
9.8,2,"MultinomialLasso",0.797814207650273,6
9.8,2,"Mahalanobis",0.579234972677596,6
9.8,3,"RF",0.777777777777778,6
9.8,3,"MultinomialLasso",0.766666666666667,6
9.8,3,"Mahalanobis",0.544444444444444,6
9.8,4,"RF",0.793296089385475,6
9.8,4,"MultinomialLasso",0.82122905027933,6
9.8,4,"Mahalanobis",0.491620111731844,6
9.8,5,"RF",0.808988764044944,6
9.8,5,"MultinomialLasso",0.780898876404494,6
9.8,5,"Mahalanobis",0.629213483146067,6
10,1,"RF",0.739130434782609,6
10,1,"MultinomialLasso",0.744565217391304,6
10,1,"Mahalanobis",0.635869565217391,6
10,2,"RF",0.80327868852459,6
10,2,"MultinomialLasso",0.80327868852459,6
10,2,"Mahalanobis",0.59016393442623,6
10,3,"RF",0.761111111111111,6
10,3,"MultinomialLasso",0.755555555555556,6
10,3,"Mahalanobis",0.533333333333333,6
10,4,"RF",0.782122905027933,6
10,4,"MultinomialLasso",0.82122905027933,6
10,4,"Mahalanobis",0.486033519553073,6
10,5,"RF",0.797752808988764,6
10,5,"MultinomialLasso",0.775280898876405,6
10,5,"Mahalanobis",0.617977528089888,6
10.2,1,"RF",0.733695652173913,6
10.2,1,"MultinomialLasso",0.755434782608696,6
10.2,1,"Mahalanobis",0.630434782608696,6
10.2,2,"RF",0.808743169398907,6
10.2,2,"MultinomialLasso",0.80327868852459,6
10.2,2,"Mahalanobis",0.573770491803279,6
