"repeat_id","outer_fold","inner_fold","t_end","num.trees","mtry_rule","min.node.size","k_use","mtry","accuracy"
1,1,3,15,400,"floor_sqrt_p",2,8,2,0.805555555555556
1,1,3,15,400,"floor_sqrt_p",5,8,2,0.791666666666667
1,1,3,15,400,"floor_sqrt_p",7,8,2,0.819444444444444
1,1,4,15,400,"floor_sqrt_p",2,8,2,0.746478873239437
1,1,4,15,400,"floor_sqrt_p",5,8,2,0.725352112676056
1,1,4,15,400,"floor_sqrt_p",7,8,2,0.725352112676056
1,1,5,15,400,"floor_sqrt_p",2,8,2,0.74468085106383
1,1,5,15,400,"floor_sqrt_p",5,8,2,0.73758865248227
1,1,5,15,400,"floor_sqrt_p",7,8,2,0.730496453900709
1,1,1,16,400,"floor_sqrt_p",2,8,2,0.727891156462585
1,1,1,16,400,"floor_sqrt_p",5,8,2,0.741496598639456
1,1,1,16,400,"floor_sqrt_p",7,8,2,0.755102040816326
1,1,2,16,400,"floor_sqrt_p",2,8,2,0.794520547945205
1,1,2,16,400,"floor_sqrt_p",5,8,2,0.794520547945205
1,1,2,16,400,"floor_sqrt_p",7,8,2,0.794520547945205
1,1,3,16,400,"floor_sqrt_p",2,9,3,0.784722222222222
1,1,3,16,400,"floor_sqrt_p",5,9,3,0.784722222222222
1,1,3,16,400,"floor_sqrt_p",7,9,3,0.791666666666667
1,1,4,16,400,"floor_sqrt_p",2,8,2,0.704225352112676
1,1,4,16,400,"floor_sqrt_p",5,8,2,0.71830985915493
1,1,4,16,400,"floor_sqrt_p",7,8,2,0.71830985915493
1,1,5,16,400,"floor_sqrt_p",2,8,2,0.75177304964539
1,1,5,16,400,"floor_sqrt_p",5,8,2,0.75886524822695
1,1,5,16,400,"floor_sqrt_p",7,8,2,0.75177304964539
1,1,1,17,400,"floor_sqrt_p",2,9,3,0.727891156462585
1,1,1,17,400,"floor_sqrt_p",5,9,3,0.741496598639456
1,1,1,17,400,"floor_sqrt_p",7,9,3,0.714285714285714
1,1,2,17,400,"floor_sqrt_p",2,9,3,0.794520547945205
1,1,2,17,400,"floor_sqrt_p",5,9,3,0.808219178082192
1,1,2,17,400,"floor_sqrt_p",7,9,3,0.815068493150685
1,1,3,17,400,"floor_sqrt_p",2,9,3,0.826388888888889
1,1,3,17,400,"floor_sqrt_p",5,9,3,0.8125
1,1,3,17,400,"floor_sqrt_p",7,9,3,0.798611111111111
