"repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
4,3,5,12,1e-06,-6,7,0.605633802816901
4,3,1,13,1e-06,-6,7,0.597315436241611
4,3,2,13,1e-06,-6,7,0.517006802721088
4,3,3,13,1e-06,-6,7,0.513888888888889
4,3,4,13,1e-06,-6,7,0.528169014084507
4,3,5,13,1e-06,-6,7,0.605633802816901
4,3,1,14,1e-06,-6,8,0.583892617449664
4,3,2,14,1e-06,-6,8,0.564625850340136
4,3,3,14,1e-06,-6,7,0.527777777777778
4,3,4,14,1e-06,-6,8,0.584507042253521
4,3,5,14,1e-06,-6,8,0.612676056338028
4,3,1,15,1e-06,-6,8,0.563758389261745
4,3,2,15,1e-06,-6,8,0.564625850340136
4,3,3,15,1e-06,-6,8,0.506944444444444
4,3,4,15,1e-06,-6,8,0.584507042253521
4,3,5,15,1e-06,-6,8,0.612676056338028
4,3,1,16,1e-06,-6,9,0.570469798657718
4,3,2,16,1e-06,-6,8,0.537414965986395
4,3,3,16,1e-06,-6,8,0.5
4,3,4,16,1e-06,-6,8,0.605633802816901
4,3,5,16,1e-06,-6,8,0.598591549295775
4,3,1,17,1e-06,-6,9,0.597315436241611
4,3,2,17,1e-06,-6,9,0.557823129251701
4,3,3,17,1e-06,-6,9,0.472222222222222
4,3,4,17,1e-06,-6,9,0.591549295774648
4,3,5,17,1e-06,-6,9,0.584507042253521
4,3,1,18,1e-06,-6,9,0.590604026845638
4,3,2,18,1e-06,-6,9,0.557823129251701
4,3,3,18,1e-06,-6,9,0.479166666666667
4,3,4,18,1e-06,-6,9,0.591549295774648
4,3,5,18,1e-06,-6,9,0.570422535211268
4,3,1,19,1e-06,-6,10,0.583892617449664
4,3,2,19,1e-06,-6,9,0.578231292517007
4,3,3,19,1e-06,-6,10,0.5
4,3,4,19,1e-06,-6,10,0.584507042253521
4,3,5,19,1e-06,-6,10,0.605633802816901
4,3,1,20,1e-06,-6,10,0.597315436241611
4,3,2,20,1e-06,-6,10,0.571428571428571
4,3,3,20,1e-06,-6,10,0.5
4,3,4,20,1e-06,-6,10,0.570422535211268
4,3,5,20,1e-06,-6,10,0.598591549295775
4,4,1,6,1e-06,-6,4,0.597315436241611
4,4,2,6,1e-06,-6,4,0.646258503401361
4,4,3,6,1e-06,-6,4,0.593103448275862
4,4,4,6,1e-06,-6,4,0.598591549295775
4,4,5,6,1e-06,-6,4,0.612676056338028
4,4,1,7,1e-06,-6,5,0.61744966442953
4,4,2,7,1e-06,-6,5,0.673469387755102
4,4,3,7,1e-06,-6,5,0.572413793103448
4,4,4,7,1e-06,-6,5,0.605633802816901
4,4,5,7,1e-06,-6,5,0.570422535211268
4,4,1,8,1e-06,-6,5,0.630872483221476
4,4,2,8,1e-06,-6,5,0.646258503401361
4,4,3,8,1e-06,-6,5,0.579310344827586
4,4,4,8,1e-06,-6,5,0.640845070422535
4,4,5,8,1e-06,-6,5,0.549295774647887
4,4,1,9,1e-06,-6,6,0.61744966442953
4,4,2,9,1e-06,-6,6,0.612244897959184
4,4,3,9,1e-06,-6,6,0.558620689655172
4,4,4,9,1e-06,-6,6,0.598591549295775
4,4,5,9,1e-06,-6,6,0.556338028169014
4,4,1,10,1e-06,-6,6,0.577181208053691
4,4,2,10,1e-06,-6,7,0.591836734693878
4,4,3,10,1e-06,-6,6,0.579310344827586
4,4,4,10,1e-06,-6,6,0.598591549295775
4,4,5,10,1e-06,-6,6,0.549295774647887
4,4,1,11,1e-06,-6,7,0.597315436241611
4,4,2,11,1e-06,-6,7,0.598639455782313
4,4,3,11,1e-06,-6,7,0.56551724137931
4,4,4,11,1e-06,-6,7,0.591549295774648
4,4,5,11,1e-06,-6,7,0.556338028169014
4,4,1,12,1e-06,-6,7,0.61744966442953
4,4,2,12,1e-06,-6,7,0.585034013605442
4,4,3,12,1e-06,-6,7,0.544827586206897
4,4,4,12,1e-06,-6,7,0.577464788732394
4,4,5,12,1e-06,-6,7,0.549295774647887
4,4,1,13,1e-06,-6,7,0.597315436241611
4,4,2,13,1e-06,-6,8,0.598639455782313
4,4,3,13,1e-06,-6,7,0.544827586206897
4,4,4,13,1e-06,-6,7,0.577464788732394
4,4,5,13,1e-06,-6,7,0.535211267605634
4,4,1,14,1e-06,-6,8,0.597315436241611
4,4,2,14,1e-06,-6,8,0.591836734693878
4,4,3,14,1e-06,-6,8,0.517241379310345
4,4,4,14,1e-06,-6,8,0.584507042253521
4,4,5,14,1e-06,-6,8,0.528169014084507
4,4,1,15,1e-06,-6,8,0.597315436241611
4,4,2,15,1e-06,-6,8,0.578231292517007
4,4,3,15,1e-06,-6,8,0.531034482758621
4,4,4,15,1e-06,-6,8,0.577464788732394
4,4,5,15,1e-06,-6,8,0.535211267605634
4,4,1,16,1e-06,-6,8,0.590604026845638
4,4,2,16,1e-06,-6,9,0.591836734693878
4,4,3,16,1e-06,-6,8,0.551724137931034
4,4,4,16,1e-06,-6,8,0.570422535211268
4,4,5,16,1e-06,-6,8,0.535211267605634
4,4,1,17,1e-06,-6,9,0.597315436241611
4,4,2,17,1e-06,-6,9,0.578231292517007
4,4,3,17,1e-06,-6,9,0.579310344827586
4,4,4,17,1e-06,-6,9,0.570422535211268
4,4,5,17,1e-06,-6,9,0.514084507042254
4,4,1,18,1e-06,-6,9,0.590604026845638
4,4,2,18,1e-06,-6,10,0.564625850340136
4,4,3,18,1e-06,-6,9,0.579310344827586
4,4,4,18,1e-06,-6,9,0.584507042253521
4,4,5,18,1e-06,-6,9,0.535211267605634
4,4,1,19,1e-06,-6,10,0.610738255033557
4,4,2,19,1e-06,-6,10,0.571428571428571
4,4,3,19,1e-06,-6,10,0.593103448275862
4,4,4,19,1e-06,-6,10,0.598591549295775
4,4,5,19,1e-06,-6,10,0.549295774647887
4,4,1,20,1e-06,-6,10,0.610738255033557
4,4,2,20,1e-06,-6,10,0.564625850340136
4,4,3,20,1e-06,-6,10,0.586206896551724
4,4,4,20,1e-06,-6,10,0.605633802816901
4,4,5,20,1e-06,-6,10,0.556338028169014
4,5,1,6,1e-06,-6,4,0.63758389261745
4,5,2,6,1e-06,-6,4,0.598639455782313
4,5,3,6,1e-06,-6,4,0.648275862068965
4,5,4,6,1e-06,-6,4,0.706293706293706
4,5,5,6,1e-06,-6,4,0.605633802816901
4,5,1,7,1e-06,-6,5,0.664429530201342
4,5,2,7,1e-06,-6,5,0.619047619047619
4,5,3,7,1e-06,-6,5,0.63448275862069
4,5,4,7,1e-06,-6,5,0.678321678321678
4,5,5,7,1e-06,-6,5,0.556338028169014
4,5,1,8,1e-06,-6,5,0.657718120805369
4,5,2,8,1e-06,-6,5,0.591836734693878
4,5,3,8,1e-06,-6,5,0.63448275862069
4,5,4,8,1e-06,-6,5,0.678321678321678
4,5,5,8,1e-06,-6,5,0.570422535211268
4,5,1,9,1e-06,-6,6,0.61744966442953
4,5,2,9,1e-06,-6,6,0.557823129251701
4,5,3,9,1e-06,-6,6,0.6
4,5,4,9,1e-06,-6,6,0.678321678321678
4,5,5,9,1e-06,-6,6,0.570422535211268
4,5,1,10,1e-06,-6,6,0.570469798657718
4,5,2,10,1e-06,-6,6,0.557823129251701
4,5,3,10,1e-06,-6,6,0.6
4,5,4,10,1e-06,-6,6,0.622377622377622
4,5,5,10,1e-06,-6,6,0.577464788732394
4,5,1,11,1e-06,-6,7,0.624161073825503
4,5,2,11,1e-06,-6,7,0.578231292517007
4,5,3,11,1e-06,-6,7,0.593103448275862
4,5,4,11,1e-06,-6,7,0.615384615384615
4,5,5,11,1e-06,-6,7,0.584507042253521
4,5,1,12,1e-06,-6,7,0.604026845637584
4,5,2,12,1e-06,-6,7,0.557823129251701
4,5,3,12,1e-06,-6,7,0.606896551724138
4,5,4,12,1e-06,-6,7,0.608391608391608
4,5,5,12,1e-06,-6,7,0.577464788732394
4,5,1,13,1e-06,-6,7,0.597315436241611
4,5,2,13,1e-06,-6,8,0.571428571428571
4,5,3,13,1e-06,-6,7,0.593103448275862
4,5,4,13,1e-06,-6,7,0.594405594405594
4,5,5,13,1e-06,-6,7,0.570422535211268
4,5,1,14,1e-06,-6,8,0.610738255033557
4,5,2,14,1e-06,-6,8,0.585034013605442
4,5,3,14,1e-06,-6,8,0.606896551724138
4,5,4,14,1e-06,-6,8,0.629370629370629
4,5,5,14,1e-06,-6,8,0.542253521126761
4,5,1,15,1e-06,-6,8,0.61744966442953
4,5,2,15,1e-06,-6,8,0.605442176870748
4,5,3,15,1e-06,-6,8,0.6
4,5,4,15,1e-06,-6,8,0.643356643356643
4,5,5,15,1e-06,-6,8,0.52112676056338
4,5,1,16,1e-06,-6,8,0.610738255033557
4,5,2,16,1e-06,-6,9,0.625850340136054
4,5,3,16,1e-06,-6,8,0.586206896551724
4,5,4,16,1e-06,-6,8,0.622377622377622
