"threshold","repeat_id","fold_id","feature_set","classifier","accuracy"
5.3,6,3,"ILR_CDPA","Mahalanobis",0.616666666666667
5.3,6,3,"ILR_only","RF",0.533333333333333
5.3,6,3,"ILR_only","MultinomialLasso",0.5
5.3,6,3,"ILR_only","Mahalanobis",0.466666666666667
5.3,6,3,"CDPA_only","RF",0.727777777777778
5.3,6,3,"CDPA_only","MultinomialLasso",0.733333333333333
5.3,6,3,"CDPA_only","Mahalanobis",0.538888888888889
5.3,6,4,"ILR_CDPA","RF",0.770949720670391
5.3,6,4,"ILR_CDPA","MultinomialLasso",0.782122905027933
5.3,6,4,"ILR_CDPA","Mahalanobis",0.636871508379888
5.3,6,4,"ILR_only","RF",0.474860335195531
5.3,6,4,"ILR_only","MultinomialLasso",0.486033519553073
5.3,6,4,"ILR_only","Mahalanobis",0.407821229050279
5.3,6,4,"CDPA_only","RF",0.70391061452514
5.3,6,4,"CDPA_only","MultinomialLasso",0.748603351955307
5.3,6,4,"CDPA_only","Mahalanobis",0.569832402234637
5.3,6,5,"ILR_CDPA","RF",0.735955056179775
5.3,6,5,"ILR_CDPA","MultinomialLasso",0.719101123595506
5.3,6,5,"ILR_CDPA","Mahalanobis",0.573033707865168
5.3,6,5,"ILR_only","RF",0.460674157303371
5.3,6,5,"ILR_only","MultinomialLasso",0.460674157303371
5.3,6,5,"ILR_only","Mahalanobis",0.398876404494382
5.3,6,5,"CDPA_only","RF",0.707865168539326
5.3,6,5,"CDPA_only","MultinomialLasso",0.719101123595506
5.3,6,5,"CDPA_only","Mahalanobis",0.550561797752809
5.3,7,1,"ILR_CDPA","RF",0.766304347826087
5.3,7,1,"ILR_CDPA","MultinomialLasso",0.744565217391304
5.3,7,1,"ILR_CDPA","Mahalanobis",0.58695652173913
5.3,7,1,"ILR_only","RF",0.467391304347826
5.3,7,1,"ILR_only","MultinomialLasso",0.467391304347826
5.3,7,1,"ILR_only","Mahalanobis",0.440217391304348
5.3,7,1,"CDPA_only","RF",0.744565217391304
5.3,7,1,"CDPA_only","MultinomialLasso",0.728260869565217
5.3,7,1,"CDPA_only","Mahalanobis",0.527173913043478
5.3,7,2,"ILR_CDPA","RF",0.73224043715847
5.3,7,2,"ILR_CDPA","MultinomialLasso",0.765027322404372
5.3,7,2,"ILR_CDPA","Mahalanobis",0.628415300546448
5.3,7,2,"ILR_only","RF",0.491803278688525
5.3,7,2,"ILR_only","MultinomialLasso",0.469945355191257
5.3,7,2,"ILR_only","Mahalanobis",0.437158469945355
5.3,7,2,"CDPA_only","RF",0.699453551912568
5.3,7,2,"CDPA_only","MultinomialLasso",0.775956284153005
5.3,7,2,"CDPA_only","Mahalanobis",0.601092896174863
5.3,7,3,"ILR_CDPA","RF",0.783333333333333
5.3,7,3,"ILR_CDPA","MultinomialLasso",0.777777777777778
5.3,7,3,"ILR_CDPA","Mahalanobis",0.572222222222222
5.3,7,3,"ILR_only","RF",0.5
5.3,7,3,"ILR_only","MultinomialLasso",0.461111111111111
5.3,7,3,"ILR_only","Mahalanobis",0.35
5.3,7,3,"CDPA_only","RF",0.744444444444444
5.3,7,3,"CDPA_only","MultinomialLasso",0.738888888888889
5.3,7,3,"CDPA_only","Mahalanobis",0.505555555555556
5.3,7,4,"ILR_CDPA","RF",0.76536312849162
5.3,7,4,"ILR_CDPA","MultinomialLasso",0.748603351955307
5.3,7,4,"ILR_CDPA","Mahalanobis",0.597765363128492
5.3,7,4,"ILR_only","RF",0.513966480446927
5.3,7,4,"ILR_only","MultinomialLasso",0.474860335195531
5.3,7,4,"ILR_only","Mahalanobis",0.391061452513966
5.3,7,4,"CDPA_only","RF",0.737430167597765
5.3,7,4,"CDPA_only","MultinomialLasso",0.76536312849162
5.3,7,4,"CDPA_only","Mahalanobis",0.541899441340782
5.3,7,5,"ILR_CDPA","RF",0.735955056179775
5.3,7,5,"ILR_CDPA","MultinomialLasso",0.719101123595506
5.3,7,5,"ILR_CDPA","Mahalanobis",0.584269662921348
5.3,7,5,"ILR_only","RF",0.49438202247191
5.3,7,5,"ILR_only","MultinomialLasso",0.47752808988764
5.3,7,5,"ILR_only","Mahalanobis",0.449438202247191
5.3,7,5,"CDPA_only","RF",0.696629213483146
5.3,7,5,"CDPA_only","MultinomialLasso",0.685393258426966
5.3,7,5,"CDPA_only","Mahalanobis",0.556179775280899
5.3,8,1,"ILR_CDPA","RF",0.733695652173913
5.3,8,1,"ILR_CDPA","MultinomialLasso",0.733695652173913
5.3,8,1,"ILR_CDPA","Mahalanobis",0.581521739130435
5.3,8,1,"ILR_only","RF",0.472826086956522
5.3,8,1,"ILR_only","MultinomialLasso",0.445652173913043
5.3,8,1,"ILR_only","Mahalanobis",0.385869565217391
5.3,8,1,"CDPA_only","RF",0.701086956521739
5.3,8,1,"CDPA_only","MultinomialLasso",0.701086956521739
5.3,8,1,"CDPA_only","Mahalanobis",0.570652173913043
5.3,8,2,"ILR_CDPA","RF",0.770491803278688
5.3,8,2,"ILR_CDPA","MultinomialLasso",0.748633879781421
5.3,8,2,"ILR_CDPA","Mahalanobis",0.579234972677596
5.3,8,2,"ILR_only","RF",0.502732240437158
5.3,8,2,"ILR_only","MultinomialLasso",0.469945355191257
5.3,8,2,"ILR_only","Mahalanobis",0.39344262295082
5.3,8,2,"CDPA_only","RF",0.737704918032787
5.3,8,2,"CDPA_only","MultinomialLasso",0.73224043715847
5.3,8,2,"CDPA_only","Mahalanobis",0.568306010928962
5.3,8,3,"ILR_CDPA","RF",0.788888888888889
