"repeat_id","fold_id","model","t_end","accuracy_95","accuracy_98","paired_difference_98_minus_95","k_95","k_98"
10,5,"RF",10,0.758426966292135,0.775280898876405,0.0168539325842697,6,12
10,5,"MultinomialLasso",10,0.758426966292135,0.786516853932584,0.0280898876404495,6,12
10,5,"Mahalanobis",10,0.573033707865168,0.612359550561798,0.0393258426966293,6,12
11,1,"RF",10,0.826086956521739,0.815217391304348,-0.0108695652173914,6,13
11,1,"MultinomialLasso",10,0.798913043478261,0.771739130434783,-0.0271739130434783,6,13
11,1,"Mahalanobis",10,0.58695652173913,0.58695652173913,0,6,13
11,2,"RF",10,0.726775956284153,0.73224043715847,0.00546448087431695,6,13
11,2,"MultinomialLasso",10,0.743169398907104,0.759562841530055,0.0163934426229507,6,13
11,2,"Mahalanobis",10,0.573770491803279,0.622950819672131,0.0491803278688525,6,13
11,3,"RF",10,0.816666666666667,0.838888888888889,0.0222222222222223,6,13
11,3,"MultinomialLasso",10,0.827777777777778,0.788888888888889,-0.0388888888888889,6,13
11,3,"Mahalanobis",10,0.594444444444444,0.622222222222222,0.0277777777777778,6,13
11,4,"RF",10,0.759776536312849,0.76536312849162,0.005586592178771,6,12
11,4,"MultinomialLasso",10,0.810055865921788,0.804469273743017,-0.00558659217877089,6,12
11,4,"Mahalanobis",10,0.547486033519553,0.58659217877095,0.0391061452513967,6,12
11,5,"RF",10,0.735955056179775,0.758426966292135,0.0224719101123595,6,12
11,5,"MultinomialLasso",10,0.758426966292135,0.797752808988764,0.0393258426966292,6,12
11,5,"Mahalanobis",10,0.544943820224719,0.606741573033708,0.0617977528089888,6,12
12,1,"RF",10,0.78804347826087,0.771739130434783,-0.0163043478260869,6,13
12,1,"MultinomialLasso",10,0.782608695652174,0.771739130434783,-0.0108695652173914,6,13
12,1,"Mahalanobis",10,0.630434782608696,0.652173913043478,0.0217391304347826,6,13
12,2,"RF",10,0.759562841530055,0.748633879781421,-0.0109289617486338,6,12
12,2,"MultinomialLasso",10,0.770491803278688,0.759562841530055,-0.0109289617486339,6,12
12,2,"Mahalanobis",10,0.530054644808743,0.568306010928962,0.0382513661202185,6,12
12,3,"RF",10,0.811111111111111,0.8,-0.0111111111111111,6,13
12,3,"MultinomialLasso",10,0.772222222222222,0.783333333333333,0.0111111111111111,6,13
12,3,"Mahalanobis",10,0.555555555555556,0.611111111111111,0.0555555555555556,6,13
12,4,"RF",10,0.782122905027933,0.770949720670391,-0.0111731843575419,6,13
12,4,"MultinomialLasso",10,0.76536312849162,0.754189944134078,-0.0111731843575419,6,13
12,4,"Mahalanobis",10,0.581005586592179,0.58659217877095,0.00558659217877089,6,13
12,5,"RF",10,0.808988764044944,0.825842696629214,0.0168539325842697,6,13
12,5,"MultinomialLasso",10,0.808988764044944,0.808988764044944,0,6,13
12,5,"Mahalanobis",10,0.584269662921348,0.589887640449438,0.0056179775280899,6,13
13,1,"RF",10,0.809782608695652,0.815217391304348,0.00543478260869557,6,12
13,1,"MultinomialLasso",10,0.755434782608696,0.777173913043478,0.0217391304347826,6,12
13,1,"Mahalanobis",10,0.576086956521739,0.548913043478261,-0.0271739130434783,6,12
13,2,"RF",10,0.748633879781421,0.775956284153005,0.0273224043715846,6,13
13,2,"MultinomialLasso",10,0.792349726775956,0.743169398907104,-0.0491803278688524,6,13
13,2,"Mahalanobis",10,0.60655737704918,0.650273224043716,0.0437158469945355,6,13
13,3,"RF",10,0.794444444444444,0.794444444444444,0,6,13
13,3,"MultinomialLasso",10,0.794444444444444,0.783333333333333,-0.0111111111111111,6,13
13,3,"Mahalanobis",10,0.561111111111111,0.533333333333333,-0.0277777777777778,6,13
13,4,"RF",10,0.754189944134078,0.748603351955307,-0.005586592178771,6,13
13,4,"MultinomialLasso",10,0.759776536312849,0.770949720670391,0.0111731843575419,6,13
13,4,"Mahalanobis",10,0.614525139664804,0.608938547486033,-0.005586592178771,6,13
13,5,"RF",10,0.769662921348315,0.769662921348315,0,6,12
13,5,"MultinomialLasso",10,0.780898876404494,0.758426966292135,-0.0224719101123596,6,12
13,5,"Mahalanobis",10,0.50561797752809,0.561797752808989,0.0561797752808989,6,12
14,1,"RF",10,0.798913043478261,0.782608695652174,-0.0163043478260869,6,13
