"repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
9,1,"RF",10,0.793478260869565,0.777173913043478,-0.0163043478260869,6
9,1,"MultinomialLasso",10,0.75,0.733695652173913,-0.0163043478260869,6
9,1,"Mahalanobis",10,0.592391304347826,0.576086956521739,-0.0163043478260869,6
9,2,"RF",10,0.792349726775956,0.786885245901639,-0.00546448087431695,6
9,2,"MultinomialLasso",10,0.80327868852459,0.797814207650273,-0.00546448087431695,6
9,2,"Mahalanobis",10,0.562841530054645,0.568306010928962,0.00546448087431695,6
9,3,"RF",10,0.8,0.805555555555556,0.00555555555555554,6
9,3,"MultinomialLasso",10,0.805555555555556,0.805555555555556,0,6
9,3,"Mahalanobis",10,0.577777777777778,0.594444444444444,0.0166666666666667,6
9,4,"RF",10,0.754189944134078,0.770949720670391,0.0167597765363128,6
9,4,"MultinomialLasso",10,0.759776536312849,0.754189944134078,-0.00558659217877089,6
9,4,"Mahalanobis",10,0.53072625698324,0.536312849162011,0.00558659217877089,6
9,5,"RF",10,0.769662921348315,0.792134831460674,0.0224719101123596,6
9,5,"MultinomialLasso",10,0.758426966292135,0.752808988764045,-0.0056179775280899,6
9,5,"Mahalanobis",10,0.544943820224719,0.51685393258427,-0.0280898876404494,6
10,1,"RF",10,0.777173913043478,0.766304347826087,-0.0108695652173914,6
10,1,"MultinomialLasso",10,0.755434782608696,0.760869565217391,0.00543478260869568,6
10,1,"Mahalanobis",10,0.570652173913043,0.565217391304348,-0.00543478260869568,6
10,2,"RF",10,0.754098360655738,0.765027322404372,0.0109289617486339,6
10,2,"MultinomialLasso",10,0.781420765027322,0.775956284153005,-0.00546448087431695,6
10,2,"Mahalanobis",10,0.612021857923497,0.60655737704918,-0.00546448087431695,6
10,3,"RF",10,0.811111111111111,0.788888888888889,-0.0222222222222223,6
10,3,"MultinomialLasso",10,0.833333333333333,0.822222222222222,-0.0111111111111112,6
10,3,"Mahalanobis",10,0.566666666666667,0.527777777777778,-0.0388888888888889,6
10,4,"RF",10,0.810055865921788,0.793296089385475,-0.0167597765363128,6
10,4,"MultinomialLasso",10,0.793296089385475,0.787709497206704,-0.005586592178771,6
10,4,"Mahalanobis",10,0.491620111731844,0.513966480446927,0.0223463687150838,6
10,5,"RF",10,0.775280898876405,0.764044943820225,-0.0112359550561798,6
10,5,"MultinomialLasso",10,0.752808988764045,0.752808988764045,0,6
10,5,"Mahalanobis",10,0.629213483146067,0.629213483146067,0,6
